Date,Close
2022-12-20,97.4
2022-12-21,96.2
2022-12-22,100.0
2022-12-23,101.0
2022-12-24,100.0
2022-12-25,98.6
2022-12-26,97.1
2022-12-27,94.1
2022-12-28,89.7
2022-12-29,90.3
2022-12-30,86.9
2022-12-31,89.4
2023-01-01,89.3
2023-01-02,90.8
2023-01-03,90.2
2023-01-04,93.7
2023-01-05,91.8
2023-01-06,91.9
2023-01-07,91.9
2023-01-08,93.3
2023-01-09,95.4
2023-01-10,97.9
2023-01-11,98.0
2023-01-12,100.0
2023-01-13,105.0
2023-01-14,107.0
2023-01-15,106.0
2023-01-16,104.0
2023-01-17,103.0
2023-01-18,99.7
2023-01-19,101.0
2023-01-20,106.0
2023-01-21,106.0
2023-01-22,110.0
2023-01-23,110.0
2023-01-24,106.0
2023-01-25,107.0
2023-01-26,108.0
2023-01-27,109.0
2023-01-28,110.0
2023-01-29,113.0
2023-01-30,111.0
2023-01-31,121.0
2023-02-01,117.0
2023-02-02,114.0
2023-02-03,116.0
2023-02-04,120.0
2023-02-05,117.0
2023-02-06,115.0
2023-02-07,117.0
2023-02-08,115.0
2023-02-09,106.0
2023-02-10,105.0
2023-02-11,107.0
2023-02-12,106.0
2023-02-13,107.0
2023-02-14,109.0
2023-02-15,114.0
2023-02-16,109.0
2023-02-17,113.0
2023-02-18,114.0
2023-02-19,112.0
2023-02-20,113.0
2023-02-21,111.0
2023-02-22,111.0
2023-02-23,110.0
2023-02-24,108.0
2023-02-25,107.0
2023-02-26,110.0
2023-02-27,108.0
2023-02-28,108.0
2023-03-01,108.0
2023-03-02,106.0
2023-03-03,102.0
2023-03-04,99.7
2023-03-05,100.0
2023-03-06,99.3
2023-03-07,98.7
2023-03-08,95.2
2023-03-09,89.4
2023-03-10,89.4
2023-03-11,89.6
2023-03-12,93.6
2023-03-13,95.7
2023-03-14,98.1
2023-03-15,93.2
2023-03-16,96.6
2023-03-17,100.0
2023-03-18,97.1
2023-03-19,99.3
2023-03-20,96.1
2023-03-21,101.0
2023-03-22,98.5
2023-03-23,102.0
2023-03-24,99.9
2023-03-25,99.1
2023-03-26,98.9
2023-03-27,97.0
2023-03-28,97.6
2023-03-29,99.7
2023-03-30,98.4
2023-03-31,101.0
2023-04-01,107.0
2023-04-02,104.0
2023-04-03,127.0
2023-04-04,125.0
2023-04-05,123.0
2023-04-06,113.0
2023-04-07,109.0
2023-04-08,108.0
2023-04-09,110.0
2023-04-10,111.0
2023-04-11,111.0
2023-04-12,110.0
2023-04-13,114.0
2023-04-14,115.0
2023-04-15,117.0
2023-04-16,119.0
2023-04-17,121.0
2023-04-18,122.0
2023-04-19,116.0
2023-04-20,112.0
2023-04-21,105.0
2023-04-22,108.0
2023-04-23,106.0
2023-04-24,106.0
2023-04-25,107.0
2023-04-26,106.0
2023-04-27,106.0
2023-04-28,107.0
2023-04-29,108.0
2023-04-30,106.0
2023-05-01,105.0
2023-05-02,106.0
2023-05-03,107.0
2023-05-04,104.0
2023-05-05,106.0
2023-05-06,103.0
2023-05-07,102.0
2023-05-08,97.6
2023-05-09,98.2
